k-seed,position_label,rev_k-seed,k-seed-extend,rev_k-seed-extend
 - FP1000 acceleration in geno,48,oneg ni noitarelecca 0001PF - ,mics\2020-21 MainResearch\Se,eS\hcraeseRniaM 12-0202\scim
 - Ulster University\Phd - F,24,F - dhP\ytisrevinU retslU - ,P1000 acceleration in genomics,scimoneg ni noitarelecca 0001P
 FP1000 acceleration in genomi,50,imoneg ni noitarelecca 0001PF ,cs\2020-21 MainResearch\Seed,deeS\hcraeseRniaM 12-0202\sc
 MainResearch\Seed_generatio,88,oitareneg_deeS\hcraeseRniaM ,n\rapid-SMEM\Rapid-SMEM\gnb_,_bng\MEMS-dipaR\MEMS-dipar\n
 Ulster University\Phd - FP10,26,01PF - dhP\ytisrevinU retslU ,00 acceleration in genomics\2,2\scimoneg ni noitarelecca 00
 University\Phd - FP1000 accel,33,lecca 0001PF - dhP\ytisrevinU ,eration in genomics\2020-21 , 12-0202\scimoneg ni noitare
 acceleration in genomics\20,55,02\scimoneg ni noitarelecca ,20-21 MainResearch\Seed_gene,eneg_deeS\hcraeseRniaM 12-02
 genomics\2020-21 MainResear,71,raeseRniaM 12-0202\scimoneg ,ch\Seed_generation\rapid-SME,EMS-dipar\noitareneg_deeS\hc
 in genomics\2020-21 MainRes,68,seRniaM 12-0202\scimoneg ni ,earch\Seed_generation\rapid-,-dipar\noitareneg_deeS\hcrae
01:\Users\tonyr\OneDrive - U,0,U - evirDenO\rynot\sresU\:10,lster University\Phd - FP1000 , 0001PF - dhP\ytisrevinU retsl
- FP1000 acceleration in genom,49,moneg ni noitarelecca 0001PF -,ics\2020-21 MainResearch\See,eeS\hcraeseRniaM 12-0202\sci
- Ulster University\Phd - FP,25,PF - dhP\ytisrevinU retslU -,1000 acceleration in genomics\,\scimoneg ni noitarelecca 0001
-21 MainResearch\Seed_genera,85,areneg_deeS\hcraeseRniaM 12-,tion\rapid-SMEM\Rapid-SMEM\g,g\MEMS-dipaR\MEMS-dipar\noit
